column_name,role
player_id,metadata
player_name,metadata
team,metadata
opponent_team,metadata
week,metadata
season,metadata
source_url,metadata
completions,feature
attempts,feature
passing_yards,feature
passing_tds,feature
passing_interceptions,feature
sacks_suffered,feature
sack_yards_lost,feature
sack_fumbles,feature
sack_fumbles_lost,feature
passing_air_yards,feature
passing_yards_after_catch,feature
passing_first_downs,feature
passing_epa,feature
passing_cpoe,feature
passing_2pt_conversions,feature
pacr,feature
carries,feature
rushing_yards,feature
rushing_tds,feature
rushing_fumbles,feature
rushing_fumbles_lost,feature
rushing_first_downs,feature
rushing_epa,feature
rushing_2pt_conversions,feature
receptions,feature
targets,feature
receiving_yards,feature
receiving_tds,feature
receiving_air_yards,feature
receiving_yards_after_catch,feature
receiving_first_downs,feature
receiving_epa,feature
fantasy_points_ppr,feature
completion_pct,feature
yards_per_attempt,feature
yards_per_completion,feature
td_rate,feature
int_rate,feature
sack_rate,feature
rush_yards_per_carry,feature
total_tds,feature
total_yards,feature
total_epa,feature
total_first_downs,feature
total_turnovers_lost,feature
qb_usage,feature
target_next_week_fantasy_ppr,target
target_next_week_20plus_flag,target
include_in_model,filter
